# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1786560768721000000,1786560795242000000,1035993087
NonBlockingReadAction.finalizedExecutionTimeUs,1786560768721000000,1786560795242000000,24243
FlushQueue.waitingTimeMaxNs,1786560768721000000,1786560795242000000,1107296255
NonBlockingReadAction.finalizedExecutionsCount,1786560768721000000,1786560795242000000,9
AWTEventQueue.eventsDispatched,1786560768721000000,1786560795242000000,1571
FlushQueue.executionTimeMaxNs,1786560768721000000,1786560795242000000,1035993087
FlushQueue.queueSizeMax,1786560768721000000,1786560795242000000,233
FlushQueue.executionTime90PNs,1786560768721000000,1786560795242000000,761855
NonBlockingReadAction.failedExecutionTimeUs,1786560768721000000,1786560795242000000,5138
AWTEventQueue.dispatchTimeTotalNS,1786560768721000000,1786560795242000000,13703846724
FlushQueue.waitingTimeAvgNs,1786560768721000000,1786560795242000000,1.824929245283019E8
FlushQueue.queueSize90P,1786560768721000000,1786560795242000000,135
FlushQueue.queueSizeAvg,1786560768721000000,1786560795242000000,44.39481132075472
NonBlockingReadAction.failedExecutionsCount,1786560768721000000,1786560795242000000,1
ReadAction.executionsCount,1786560768721000000,1786560795242000000,59730
AWTEventQueue.dispatchTimeAvgNs,1786560768721000000,1786560795242000000,8718063.745385105
FlushQueue.waitingTime90PNs,1786560768721000000,1786560795242000000,557842431
FlushQueue.executionTimeAvgNs,1786560768721000000,1786560795242000000,4076896.988679245
AWTEventQueue.dispatchTime90PNs,1786560768721000000,1786560795242000000,9109503
WriteAction.executionsCount,1786560768721000000,1786560795242000000,10
FlushQueue.tasksExecuted,1786560768721000000,1786560795242000000,2120
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786560768721000000,1786560795242000000,0
workspaceModel.save.cache.to.file.ms,1786560768721000000,1786560795242000000,112
workspaceModel.moduleManagerBridge.load.module.ms,1786560768721000000,1786560795242000000,0
workspaceModel.moduleBridge.update.option.ms,1786560768721000000,1786560795242000000,0
workspaceModel.load.cache.from.file.ms,1786560768721000000,1786560795242000000,332
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786560768721000000,1786560795242000000,3
jps.load.project.to.empty.storage.ms,1786560768721000000,1786560795242000000,109
workspaceModel.orphan.listener.update.ms,1786560768721000000,1786560795242000000,5
jps.load.initial.state.ms,1786560768721000000,1786560795242000000,45
jps.artifact.entities.serializer.load.entities.ms,1786560768721000000,1786560795242000000,0
jps.facet.change.listener.before.change.events.ms,1786560768721000000,1786560795242000000,0
jps.save.changed.project.entities.ms,1786560768721000000,1786560795242000000,0
jps.module.iml.entities.serializer.save.entities.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1786560768721000000,1786560795242000000,0
jps.apply.loaded.storage.ms,1786560768721000000,1786560795242000000,23
workspaceModel.moduleManagerBridge.newModule.ms,1786560768721000000,1786560795242000000,0
jps.library.entities.serializer.save.entities.ms,1786560768721000000,1786560795242000000,0
workspaceModel.global.updates.count,1786560768721000000,1786560795242000000,1
jps.facet.change.listener.init.bridge.ms,1786560768721000000,1786560795242000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1786560768721000000,1786560795242000000,3
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786560768721000000,1786560795242000000,16
workspaceModel.do.save.caches.ms,1786560768721000000,1786560795242000000,118
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786560768721000000,1786560795242000000,4
workspaceModel.delayed.project.synchronizer.sync.ms,1786560768721000000,1786560795242000000,137
workspaceModel.moduleBridge.facet.initialization.ms,1786560768721000000,1786560795242000000,60
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786560768721000000,1786560795242000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1786560768721000000,1786560795242000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1786560768721000000,1786560795242000000,354
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786560768721000000,1786560795242000000,0
jps.global.handle.changed.events.ms,1786560768721000000,1786560795242000000,0
workspaceModel.sync.entities.ms,1786560768721000000,1786560795242000000,0
jps.reload.project.entities.ms,1786560768721000000,1786560795242000000,0
jps.project.serializers.load.ms,1786560768721000000,1786560795242000000,57
jps.global.initialize.library.bridges.ms,1786560768721000000,1786560795242000000,0
workspaceModel.load.cache.metadata.from.file.ms,1786560768721000000,1786560795242000000,38
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786560768721000000,1786560795242000000,0
jps.app.storage.content.reader.load.component.ms,1786560768721000000,1786560795242000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1786560768721000000,1786560795242000000,10
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1786560768721000000,1786560795242000000,1
workspaceModel.global.apply.state.to.project.ms,1786560768721000000,1786560795242000000,135
workspaceModel.mutableEntityStorage.entities.ms,1786560768721000000,1786560795242000000,0
jps.global.get.library.by.name.ms,1786560768721000000,1786560795242000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1786560768721000000,1786560795242000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786560768721000000,1786560795242000000,5
workspaceModel.moduleBridge.before.changed.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1786560768721000000,1786560795242000000,0
jps.storage.jps.conf.reader.load.component.ms,1786560768721000000,1786560795242000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1786560768721000000,1786560795242000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786560768721000000,1786560795242000000,28
jps.save.global.entities.ms,1786560768721000000,1786560795242000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786560768721000000,1786560795242000000,3
workspaceModel.mutableEntityStorage.instances.count,1786560768721000000,1786560795242000000,35
workspaceModel.global.updates.ms,1786560768721000000,1786560795242000000,13
jps.facet.change.listener.process.change.events.ms,1786560768721000000,1786560795242000000,4
jps.global.get.library.ms,1786560768721000000,1786560795242000000,0
jps.module.iml.entities.serializer.load.entities.ms,1786560768721000000,1786560795242000000,28
jps.artifact.entities.serializer.save.entities.ms,1786560768721000000,1786560795242000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1786560768721000000,1786560795242000000,0
jps.global.get.libraries.ms,1786560768721000000,1786560795242000000,0
jps.global.initialize.library.bridges.after.loading.ms,1786560768721000000,1786560795242000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1786560768721000000,1786560795242000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786560768721000000,1786560795242000000,71
jps.project.serializers.save.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1786560768721000000,1786560795242000000,40
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786560768721000000,1786560795242000000,1
jps.library.entities.serializer.load.entities.ms,1786560768721000000,1786560795242000000,1
jps.global.handle.before.change.events.ms,1786560768721000000,1786560795242000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786560768721000000,1786560795242000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786560768721000000,1786560795242000000,0
cacheStateStorage.set.duration,1786560768721000000,1786560795242000000,20
cacheStateStorage.get.duration,1786560768721000000,1786560795242000000,190
cacheStateStorage.get.counter,1786560768721000000,1786560795242000000,27
cacheStateStorage.set.counter,1786560768721000000,1786560795242000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1786560768721000000,1786560795242000000,27445
