# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1786563566580000000,1786563592723000000,24250
NonBlockingReadAction.finalizedExecutionsCount,1786563566580000000,1786563592723000000,9
AWTEventQueue.eventsDispatched,1786563566580000000,1786563592723000000,1048
FlushQueue.executionTime90PNs,1786563566580000000,1786563592723000000,851967
FlushQueue.waitingTimeAvgNs,1786563566580000000,1786563592723000000,1.6609806490621194E8
FlushQueue.queueSize90P,1786563566580000000,1786563592723000000,139
FlushQueue.waitingTimeMaxNs,1786563566580000000,1786563592723000000,1182793727
FlushQueue.tasksExecuted,1786563566580000000,1786563592723000000,1642
WriteAction.executionsCount,1786563566580000000,1786563592723000000,13
AWTEventQueue.dispatchTimeMaxNs,1786563566580000000,1786563592723000000,717225983
NonBlockingReadAction.failedExecutionsCount,1786563566580000000,1786563592723000000,1
FlushQueue.executionTimeAvgNs,1786563566580000000,1786563592723000000,4725580.742996346
AWTEventQueue.dispatchTimeAvgNs,1786563566580000000,1786563592723000000,8885925.190839695
ReadAction.executionsCount,1786563566580000000,1786563592723000000,60099
FlushQueue.queueSizeAvg,1786563566580000000,1786563592723000000,47.76370280146163
FlushQueue.executionTimeMaxNs,1786563566580000000,1786563592723000000,2717908991
FlushQueue.queueSizeMax,1786563566580000000,1786563592723000000,206
FlushQueue.waitingTime90PNs,1786563566580000000,1786563592723000000,488636415
AWTEventQueue.dispatchTimeTotalNS,1786563566580000000,1786563592723000000,9315610412
AWTEventQueue.dispatchTime90PNs,1786563566580000000,1786563592723000000,13434879
NonBlockingReadAction.failedExecutionTimeUs,1786563566580000000,1786563592723000000,5523
JVM.maxHeapBytes,1786563566580000000,1786563592723000000,2147483648
JVM.GC.collectionTimesMs,1786563566580000000,1786563592723000000,626
MEM.fileMappingsRamBytes,1786563566580000000,1786563592723000000,641110016
JVM.committedHeapBytes,1786563566580000000,1786563592723000000,468713472
JVM.usedHeapBytes,1786563566580000000,1786563592723000000,319206216
JVM.totalBytesAllocated,1786563566580000000,1786563592723000000,2914499144
JVM.totalCpuTimeMs,1786563566580000000,1786563592723000000,107650
JVM.usedNativeBytes,1786563566580000000,1786563592723000000,382782464
JVM.maxThreadCount,1786563566580000000,1786563592723000000,131
MEM.ramPlusSwapMinusFileMappingsBytes,1786563566580000000,1786563592723000000,1074098176
