# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1786563529424000000,1786563548592000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786563529424000000,1786563548592000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1786563529424000000,1786563548592000000,0
workspaceModel.init.bridges.ms,1786563529424000000,1786563548592000000,9
workspaceModel.pre.handlers.ms,1786563529424000000,1786563548592000000,1
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786563529424000000,1786563548592000000,0
workspaceModel.cachedValue.from.cache.count,1786563529424000000,1786563548592000000,36
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786563529424000000,1786563548592000000,76
workspaceModel.entityStorageSnapshotImpl.instances.count,1786563529424000000,1786563548592000000,24
workspaceModel.workspaceFileIndexData.init.ms,1786563529424000000,1786563548592000000,137
workspaceModel.on.changed.ms,1786563529424000000,1786563548592000000,36
workspaceModel.update.unloaded.entities.ms,1786563529424000000,1786563548592000000,0
workspaceModel.updates.precise.ms,1786563529424000000,1786563548592000000,44
workspaceModel.cachedValue.total.get.count,1786563529424000000,1786563548592000000,47
workspaceModel.cachedValueWithParameters.clear.count,1786563529424000000,1786563548592000000,0
workspaceModel.to.snapshot.ms,1786563529424000000,1786563548592000000,0
workspaceModel.on.before.changed.ms,1786563529424000000,1786563548592000000,57
workspaceModel.cachedValueWithParameters.total.get.count,1786563529424000000,1786563548592000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786563529424000000,1786563548592000000,0
workspaceModel.check.recursive.update.ms,1786563529424000000,1786563548592000000,0
workspaceModel.loading.from.cache.ms,1786563529424000000,1786563548592000000,315
workspaceModel.cachedValueWithParameters.calculated.count,1786563529424000000,1786563548592000000,0
workspaceModel.collect.changes.ms,1786563529424000000,1786563548592000000,0
workspaceModel.full.replace.project.model.ms,1786563529424000000,1786563548592000000,5
workspaceModel.updates.ms,1786563529424000000,1786563548592000000,153
workspaceModel.initializing.ms,1786563529424000000,1786563548592000000,9
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786563529424000000,1786563548592000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786563529424000000,1786563548592000000,261
workspaceModel.loading.total.ms,1786563529424000000,1786563548592000000,332
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786563529424000000,1786563548592000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786563529424000000,1786563548592000000,0
workspaceModel.replace.project.model.ms,1786563529424000000,1786563548592000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1786563529424000000,1786563548592000000,0
workspaceModel.workspaceFileIndexData.instances.count,1786563529424000000,1786563548592000000,1
workspaceModel.updates.count,1786563529424000000,1786563548592000000,4
workspaceModel.cachedValue.calculated.count,1786563529424000000,1786563548592000000,11
FilePageCache.totalPageLoadsUs,1786563529424000000,1786563548592000000,670656
StorageLockContext.competingThreads.90P,1786563529424000000,1786563548592000000,0
FilePageCache.pageLoads,1786563529424000000,1786563548592000000,413
DirectByteBufferAllocator.disposed,1786563529424000000,1786563548592000000,367
DirectByteBufferAllocator.misses,1786563529424000000,1786563548592000000,410
FilePageCache.capacityInBytes,1786563529424000000,1786563548592000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786563529424000000,1786563548592000000,41967616
DirectByteBufferAllocator.reclaimed,1786563529424000000,1786563548592000000,46
FilePageCache.maxRegisteredFiles,1786563529424000000,1786563548592000000,1106
FilePageCache.uncachedFileAccess,1786563529424000000,1786563548592000000,307
FilePageCache.pageFastCacheHits,1786563529424000000,1786563548592000000,11368
StorageLockContext.competingThreads.avg,1786563529424000000,1786563548592000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1786563529424000000,1786563548592000000,0
FilePageCache.disposedBuffers,1786563529424000000,1786563548592000000,413
DirectByteBufferAllocator.hits,1786563529424000000,1786563548592000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1786563529424000000,1786563548592000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786563529424000000,1786563548592000000,41967616
