# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1786560556327000000,1786560582962000000,7.0
Indexing.writer_1.totalTimeSpentWritingMs,1786560556327000000,1786560582962000000,0
Indexes.stubs.lookupDurationMaxMs,1786560556327000000,1786560582962000000,0.0
Indexes.stubs.lookupDurationAvgMs,1786560556327000000,1786560582962000000,0.0
Indexes.entries.lookupDurationAvgMs,1786560556327000000,1786560582962000000,2.375
Indexes.allKeys.lookupDurationMaxMs,1786560556327000000,1786560582962000000,0.0
Indexes.allKeys.lookupDuration90PMs,1786560556327000000,1786560582962000000,0.0
Indexes.allKeys.lookups,1786560556327000000,1786560582962000000,0
Indexes.entries.lookupDurationMaxMs,1786560556327000000,1786560582962000000,14.0
Indexing.writesQueuedMin,1786560556327000000,1786560582962000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1786560556327000000,1786560582962000000,0
Indexing.cache.totalCacheMisses,1786560556327000000,1786560582962000000,4
Indexing.writer_0.totalTimeSpentWritingMs,1786560556327000000,1786560582962000000,0
Indexes.allKeys.lookupDurationAvgMs,1786560556327000000,1786560582962000000,0.0
Indexing.cache.totalCacheEvicted,1786560556327000000,1786560582962000000,4
Indexing.writer_2.totalTimeSpentWritingMs,1786560556327000000,1786560582962000000,0
Indexes.stubs.lookups,1786560556327000000,1786560582962000000,0
Indexing.writesQueuedMax,1786560556327000000,1786560582962000000,0
Indexes.stubs.lookupDuration90PMs,1786560556327000000,1786560582962000000,0.0
Indexing.writesQueuedAvg,1786560556327000000,1786560582962000000,0.0
Indexing.cache.totalCacheAccesses,1786560556327000000,1786560582962000000,4
Indexing.totalTimeIndexersSleptMs,1786560556327000000,1786560582962000000,0
Indexes.entries.lookups,1786560556327000000,1786560582962000000,79
AWTEventQueue.dispatchTimeTotalNS,1786560556327000000,1786560582962000000,9478712217
NonBlockingReadAction.finalizedExecutionsCount,1786560556327000000,1786560582962000000,9
NonBlockingReadAction.failedExecutionTimeUs,1786560556327000000,1786560582962000000,7129
NonBlockingReadAction.failedExecutionsCount,1786560556327000000,1786560582962000000,1
NonBlockingReadAction.finalizedExecutionTimeUs,1786560556327000000,1786560582962000000,25288
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786560556327000000,1786560582962000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786560556327000000,1786560582962000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786560556327000000,1786560582962000000,0
jps.app.storage.content.reader.load.component.ms,1786560556327000000,1786560582962000000,6
jps.load.project.to.empty.storage.ms,1786560556327000000,1786560582962000000,108
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786560556327000000,1786560582962000000,3
jps.storage.jps.conf.reader.load.component.ms,1786560556327000000,1786560582962000000,5
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786560556327000000,1786560582962000000,54
jps.project.serializers.load.ms,1786560556327000000,1786560582962000000,56
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786560556327000000,1786560582962000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1786560556327000000,1786560582962000000,373
jps.save.changed.project.entities.ms,1786560556327000000,1786560582962000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786560556327000000,1786560582962000000,15
jps.library.entities.serializer.load.entities.ms,1786560556327000000,1786560582962000000,1
jps.apply.loaded.storage.ms,1786560556327000000,1786560582962000000,22
workspaceModel.mutableEntityStorage.entities.ms,1786560556327000000,1786560582962000000,0
jps.global.initialize.library.bridges.ms,1786560556327000000,1786560582962000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786560556327000000,1786560582962000000,5
jps.global.handle.changed.events.ms,1786560556327000000,1786560582962000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786560556327000000,1786560582962000000,5
jps.global.initialize.library.bridges.after.loading.ms,1786560556327000000,1786560582962000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1786560556327000000,1786560582962000000,0
jps.facet.change.listener.before.change.events.ms,1786560556327000000,1786560582962000000,0
jps.global.get.library.by.name.ms,1786560556327000000,1786560582962000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786560556327000000,1786560582962000000,24
workspaceModel.mutableEntityStorage.add.entity.ms,1786560556327000000,1786560582962000000,40
