# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786562635919000000,1786562695938000000,41959424
DirectByteBufferAllocator.misses,1786562635919000000,1786562695938000000,444
StreamlinedBlobStorage.recordsDeleted,1786562635919000000,1786562695938000000,3
StreamlinedBlobStorage.recordsAllocated,1786562635919000000,1786562695938000000,6734
FilePageCache.pageFastCacheHits,1786562635919000000,1786562695938000000,11595
DirectByteBufferAllocator.reclaimed,1786562635919000000,1786562695938000000,45
FilePageCache.totalPageLoadsUs,1786562635919000000,1786562695938000000,1048841
StorageLockContext.competingThreads.max,1786562635919000000,1786562695938000000,9
StreamlinedBlobStorage.recordsRelocated,1786562635919000000,1786562695938000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1786562635919000000,1786562695938000000,118751
FileChannelInterruptsRetryer.totalRetriedAttempts,1786562635919000000,1786562695938000000,0
MappedFileStorage.totalPagesMapped,1786562635919000000,1786562695938000000,16
FilePageCache.pageHits,1786562635919000000,1786562695938000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1786562635919000000,1786562695938000000,36308
FilePageCache.uncachedFileAccess,1786562635919000000,1786562695938000000,311
FilePageCache.capacityInBytes,1786562635919000000,1786562695938000000,629145600
FilePageCache.pageLoads,1786562635919000000,1786562695938000000,447
StorageLockContext.competingThreads.90P,1786562635919000000,1786562695938000000,0
FilePageCache.disposedBuffers,1786562635919000000,1786562695938000000,447
FilePageCache.totalPageDisposalsUs,1786562635919000000,1786562695938000000,5208
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786562635919000000,1786562695938000000,0
MappedFileStorage.totalBytesMapped,1786562635919000000,1786562695938000000,202637312
FilePageCache.maxCacheSizeInBytes,1786562635919000000,1786562695938000000,463486976
FilePageCache.maxRegisteredFiles,1786562635919000000,1786562695938000000,1106
DirectByteBufferAllocator.hits,1786562635919000000,1786562695938000000,3
StorageLockContext.competingThreads.avg,1786562635919000000,1786562695938000000,0.07627118644067797
FilePageCache.pageLoadsAboveSizeThreshold,1786562635919000000,1786562695938000000,0
workspaceModel.cachedValue.clear.count,1786562635919000000,1786562695938000000,0
workspaceModel.on.before.changed.ms,1786562635919000000,1786562695938000000,61
workspaceModel.init.bridges.ms,1786562635919000000,1786562695938000000,11
workspaceModel.collect.changes.ms,1786562635919000000,1786562695938000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1786562635919000000,1786562695938000000,26
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786562635919000000,1786562695938000000,7
workspaceModel.updates.precise.ms,1786562635919000000,1786562695938000000,41
workspaceModel.on.changed.ms,1786562635919000000,1786562695938000000,52
workspaceModel.cachedValue.total.get.count,1786562635919000000,1786562695938000000,55
workspaceModel.workspaceFileIndexData.markDirty.ms,1786562635919000000,1786562695938000000,0
workspaceModel.updates.count,1786562635919000000,1786562695938000000,4
workspaceModel.full.replace.project.model.ms,1786562635919000000,1786562695938000000,7
workspaceModel.workspaceFileIndexData.init.ms,1786562635919000000,1786562695938000000,52
workspaceModel.cachedValueWithParameters.calculated.count,1786562635919000000,1786562695938000000,0
workspaceModel.workspaceFileIndexData.instances.count,1786562635919000000,1786562695938000000,1
workspaceModel.loading.from.cache.ms,1786562635919000000,1786562695938000000,406
workspaceModel.replace.project.model.ms,1786562635919000000,1786562695938000000,0
workspaceModel.initializing.ms,1786562635919000000,1786562695938000000,10
workspaceModel.loading.total.ms,1786562635919000000,1786562695938000000,423
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786562635919000000,1786562695938000000,22
workspaceModel.cachedValue.calculated.count,1786562635919000000,1786562695938000000,14
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786562635919000000,1786562695938000000,0
workspaceModel.cachedValueWithParameters.clear.count,1786562635919000000,1786562695938000000,0
workspaceModel.update.unloaded.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.pre.handlers.ms,1786562635919000000,1786562695938000000,1
workspaceModel.cachedValue.from.cache.count,1786562635919000000,1786562695938000000,41
workspaceModel.updates.ms,1786562635919000000,1786562695938000000,190
workspaceModel.cachedValueWithParameters.from.cache.count,1786562635919000000,1786562695938000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786562635919000000,1786562695938000000,92
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786562635919000000,1786562695938000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786562635919000000,1786562695938000000,0
workspaceModel.to.snapshot.ms,1786562635919000000,1786562695938000000,2
workspaceModel.check.recursive.update.ms,1786562635919000000,1786562695938000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1786562635919000000,1786562695938000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786562635919000000,1786562695938000000,371
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786562635919000000,1786562695938000000,0
Indexes.allKeys.lookupDurationAvgMs,1786562635919000000,1786562695938000000,0.0
Indexing.writesQueuedMax,1786562635919000000,1786562695938000000,0
Indexes.stubs.lookupDurationMaxMs,1786562635919000000,1786562695938000000,0.0
Indexes.entries.lookupDurationAvgMs,1786562635919000000,1786562695938000000,3.325
Indexes.allKeys.lookupDurationMaxMs,1786562635919000000,1786562695938000000,0.0
Indexing.writesQueuedMin,1786562635919000000,1786562695938000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1786562635919000000,1786562695938000000,0
Indexes.stubs.lookups,1786562635919000000,1786562695938000000,0
Indexing.cache.totalCacheMisses,1786562635919000000,1786562695938000000,6
Indexes.entries.lookupDurationMaxMs,1786562635919000000,1786562695938000000,18.0
Indexing.totalTimeIndexersSleptMs,1786562635919000000,1786562695938000000,0
Indexes.stubs.lookupDurationAvgMs,1786562635919000000,1786562695938000000,0.0
Indexes.entries.lookups,1786562635919000000,1786562695938000000,80
Indexes.entries.lookupDuration90PMs,1786562635919000000,1786562695938000000,7.0
Indexes.allKeys.lookupDuration90PMs,1786562635919000000,1786562695938000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1786562635919000000,1786562695938000000,0
Indexes.allKeys.lookups,1786562635919000000,1786562695938000000,0
Indexing.writesQueuedAvg,1786562635919000000,1786562695938000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1786562635919000000,1786562695938000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1786562635919000000,1786562695938000000,0
Indexes.stubs.lookupDuration90PMs,1786562635919000000,1786562695938000000,0.0
Indexing.cache.totalCacheEvicted,1786562635919000000,1786562695938000000,6
Indexing.cache.totalCacheAccesses,1786562635919000000,1786562695938000000,6
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1786562635919000000,1786562695938000000,3
compiler.ArtifactManagerBridge.dropMappings.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1786562635919000000,1786562695938000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1786562635919000000,1786562695938000000,0
compiler.ArtifactManagerBridge.commit.ms,1786562635919000000,1786562695938000000,0
VFS.contentStorage.recordsStoredCompressed,1786562635919000000,1786562695938000000,0
VFS.contentStorage.recordsReadSize,1786562635919000000,1786562695938000000,5455
VFS.contentStorage.recordsStored,1786562635919000000,1786562695938000000,0
VFS.cache.directoriesCreated,1786562635919000000,1786562695938000000,1226
VFS.cache.segmentsCreated,1786562635919000000,1786562695938000000,28
VFS.cache.segments,1786562635919000000,1786562695938000000,28.0
VFS.contentStorage.recordsUncompressedSize,1786562635919000000,1786562695938000000,0
VFS.invertedFileNameIndex.requests,1786562635919000000,1786562695938000000,0
FileNameCache.totalMisses,1786562635919000000,1786562695938000000,8256
FileNameCache.queries,1786562635919000000,1786562695938000000,339264
VFS.contentStorage.recordsStoredSize,1786562635919000000,1786562695938000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1786562635919000000,1786562695938000000,0
VFS.folderCaseSensitivityReads,1786562635919000000,1786562695938000000,0
VFS.cache.filesCreated,1786562635919000000,1786562695938000000,63822
VFS.fileByIdCache.misses,1786562635919000000,1786562695938000000,38
VFS.fileChildByName,1786562635919000000,1786562695938000000,5616
VFS.contentStorage.recordsReadDecompressed,1786562635919000000,1786562695938000000,0
VFS.rootsCount,1786562635919000000,1786562695938000000,13.0
VFS.contentStorage.recordsDeduplicated,1786562635919000000,1786562695938000000,0
VFS.fileByIdCache.hits,1786562635919000000,1786562695938000000,0
VFS.contentStorage.recordsRead,1786562635919000000,1786562695938000000,5
