# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1786563379128000000,1786563389870000000,1
workspaceModel.workspaceFileIndexData.instances.count,1786563379128000000,1786563389870000000,1
workspaceModel.check.recursive.update.ms,1786563379128000000,1786563389870000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786563379128000000,1786563389870000000,0
workspaceModel.cachedValueWithParameters.clear.count,1786563379128000000,1786563389870000000,0
workspaceModel.collect.changes.ms,1786563379128000000,1786563389870000000,0
workspaceModel.workspaceFileIndexData.init.ms,1786563379128000000,1786563389870000000,64
workspaceModel.loading.total.ms,1786563379128000000,1786563389870000000,344
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786563379128000000,1786563389870000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1786563379128000000,1786563389870000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1786563379128000000,1786563389870000000,0
workspaceModel.full.replace.project.model.ms,1786563379128000000,1786563389870000000,0
workspaceModel.to.snapshot.ms,1786563379128000000,1786563389870000000,1
workspaceModel.replace.project.model.ms,1786563379128000000,1786563389870000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1786563379128000000,1786563389870000000,10
workspaceModel.on.changed.ms,1786563379128000000,1786563389870000000,29
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786563379128000000,1786563389870000000,0
workspaceModel.loading.from.cache.ms,1786563379128000000,1786563389870000000,331
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786563379128000000,1786563389870000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786563379128000000,1786563389870000000,186
workspaceModel.initializing.ms,1786563379128000000,1786563389870000000,6
workspaceModel.updates.count,1786563379128000000,1786563389870000000,2
workspaceModel.updates.ms,1786563379128000000,1786563389870000000,123
workspaceModel.cachedValueWithParameters.from.cache.count,1786563379128000000,1786563389870000000,0
workspaceModel.on.before.changed.ms,1786563379128000000,1786563389870000000,55
workspaceModel.update.unloaded.entities.ms,1786563379128000000,1786563389870000000,0
workspaceModel.updates.precise.ms,1786563379128000000,1786563389870000000,29
workspaceModel.init.bridges.ms,1786563379128000000,1786563389870000000,6
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786563379128000000,1786563389870000000,115
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786563379128000000,1786563389870000000,8
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786563379128000000,1786563389870000000,0
workspaceModel.cachedValue.calculated.count,1786563379128000000,1786563389870000000,7
workspaceModel.cachedValueWithParameters.calculated.count,1786563379128000000,1786563389870000000,0
workspaceModel.cachedValue.total.get.count,1786563379128000000,1786563389870000000,37
workspaceModel.cachedValue.clear.count,1786563379128000000,1786563389870000000,0
workspaceModel.cachedValue.from.cache.count,1786563379128000000,1786563389870000000,30
cacheStateStorage.get.counter,1786563379128000000,1786563389870000000,11
cacheStateStorage.set.duration,1786563379128000000,1786563389870000000,27
cacheStateStorage.set.counter,1786563379128000000,1786563389870000000,6
cacheStateStorage.get.duration,1786563379128000000,1786563389870000000,86
DiskQueryRelay.tasksExecuted,1786563379128000000,1786563389870000000,293
writeAction.count,1786563379128000000,1786563389870000000,8
DiskQueryRelay.tasksRequested,1786563379128000000,1786563389870000000,293
DiskQueryRelay.taskWaitingTotalTimeUs,1786563379128000000,1786563389870000000,306884
writeAction.max.wait.ms,1786563379128000000,1786563389870000000,371
writeAction.wait.ms,1786563379128000000,1786563389870000000,379
DiskQueryRelay.taskExecutionTotalTimeUs,1786563379128000000,1786563389870000000,160803
writeAction.median.wait.ms,1786563379128000000,1786563389870000000,300
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786563379128000000,1786563389870000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786563379128000000,1786563389870000000,6
workspaceModel.mutableEntityStorage.resolve.ms,1786563379128000000,1786563389870000000,0
jps.facet.change.listener.process.change.events.ms,1786563379128000000,1786563389870000000,5
jps.app.storage.content.reader.load.component.ms,1786563379128000000,1786563389870000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786563379128000000,1786563389870000000,6
workspaceModel.mutableEntityStorage.instances.count,1786563379128000000,1786563389870000000,9
workspaceModel.moduleManagerBridge.newModule.ms,1786563379128000000,1786563389870000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1786563379128000000,1786563389870000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786563379128000000,1786563389870000000,0
jps.global.initialize.library.bridges.ms,1786563379128000000,1786563389870000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786563379128000000,1786563389870000000,0
workspaceModel.do.save.caches.ms,1786563379128000000,1786563389870000000,68
workspaceModel.mutableEntityStorage.entities.ms,1786563379128000000,1786563389870000000,2
