# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.project.serializers.load.ms,1786561996455000000,1786562017757000000,72
jps.library.entities.serializer.save.entities.ms,1786561996455000000,1786562017757000000,0
jps.save.global.entities.ms,1786561996455000000,1786562017757000000,57
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786561996455000000,1786562017757000000,0
jps.module.iml.entities.serializer.save.entities.ms,1786561996455000000,1786562017757000000,0
jps.global.get.library.by.name.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786561996455000000,1786562017757000000,5
jps.module.iml.entities.serializer.load.entities.ms,1786561996455000000,1786562017757000000,41
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1786561996455000000,1786562017757000000,2
workspaceModel.global.updates.ms,1786561996455000000,1786562017757000000,16
workspaceModel.moduleBridgeLoader.loading.modules.ms,1786561996455000000,1786562017757000000,454
workspaceModel.mutableEntityStorage.hasReferrers.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786561996455000000,1786562017757000000,0
jps.storage.jps.conf.reader.load.component.ms,1786561996455000000,1786562017757000000,3
workspaceModel.mutableEntityStorage.entities.ms,1786561996455000000,1786562017757000000,2
jps.facet.change.listener.before.change.events.ms,1786561996455000000,1786562017757000000,0
jps.project.serializers.save.ms,1786561996455000000,1786562017757000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786561996455000000,1786562017757000000,18
workspaceModel.load.cache.from.file.ms,1786561996455000000,1786562017757000000,463
workspaceModel.orphan.listener.update.ms,1786561996455000000,1786562017757000000,5
jps.global.initialize.library.bridges.ms,1786561996455000000,1786562017757000000,2
jps.global.get.libraries.ms,1786561996455000000,1786562017757000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786561996455000000,1786562017757000000,70
jps.load.initial.state.ms,1786561996455000000,1786562017757000000,61
workspaceModel.mutableEntityStorage.instances.count,1786561996455000000,1786562017757000000,37
jps.global.initialize.library.bridges.after.loading.ms,1786561996455000000,1786562017757000000,4
workspaceModel.global.updates.count,1786561996455000000,1786562017757000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786561996455000000,1786562017757000000,0
jps.save.changed.project.entities.ms,1786561996455000000,1786562017757000000,2
jps.app.storage.content.writer.save.component.ms,1786561996455000000,1786562017757000000,15
workspaceModel.moduleManagerBridge.load.module.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1786561996455000000,1786562017757000000,44
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786561996455000000,1786562017757000000,2
jps.apply.loaded.storage.ms,1786561996455000000,1786562017757000000,4770
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786561996455000000,1786562017757000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1786561996455000000,1786562017757000000,10
workspaceModel.moduleManagerBridge.newModule.ms,1786561996455000000,1786562017757000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1786561996455000000,1786562017757000000,0
jps.global.handle.before.change.events.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786561996455000000,1786562017757000000,2
jps.app.storage.content.reader.load.component.ms,1786561996455000000,1786562017757000000,16
workspaceModel.global.apply.state.to.project.ms,1786561996455000000,1786562017757000000,164
workspaceModel.mutableEntityStorage.collect.changes.ms,1786561996455000000,1786562017757000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1786561996455000000,1786562017757000000,4
workspaceModel.moduleBridge.facet.initialization.ms,1786561996455000000,1786562017757000000,82
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786561996455000000,1786562017757000000,7
workspaceModel.mutableEntityStorage.referrers.ms,1786561996455000000,1786562017757000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1786561996455000000,1786562017757000000,4907
jps.global.handle.changed.events.ms,1786561996455000000,1786562017757000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786561996455000000,1786562017757000000,0
jps.facet.change.listener.process.change.events.ms,1786561996455000000,1786562017757000000,5
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786561996455000000,1786562017757000000,1
jps.reload.project.entities.ms,1786561996455000000,1786562017757000000,0
workspaceModel.moduleBridge.update.option.ms,1786561996455000000,1786562017757000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786561996455000000,1786562017757000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786561996455000000,1786562017757000000,28
workspaceModel.do.save.caches.ms,1786561996455000000,1786562017757000000,199
workspaceModel.moduleManagerBridge.get.modules.ms,1786561996455000000,1786562017757000000,1
jps.artifact.entities.serializer.load.entities.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1786561996455000000,1786562017757000000,0
jps.load.project.to.empty.storage.ms,1786561996455000000,1786562017757000000,132
jps.artifact.entities.serializer.save.entities.ms,1786561996455000000,1786562017757000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1786561996455000000,1786562017757000000,1
workspaceModel.save.cache.to.file.ms,1786561996455000000,1786562017757000000,191
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786561996455000000,1786562017757000000,0
workspaceModel.moduleBridge.before.changed.ms,1786561996455000000,1786562017757000000,0
jps.library.entities.serializer.load.entities.ms,1786561996455000000,1786562017757000000,1
workspaceModel.sync.entities.ms,1786561996455000000,1786562017757000000,0
jps.facet.change.listener.init.bridge.ms,1786561996455000000,1786562017757000000,3
jps.global.get.library.ms,1786561996455000000,1786562017757000000,0
workspaceModel.load.cache.metadata.from.file.ms,1786561996455000000,1786562017757000000,64
AWTEventQueue.dispatchTimeTotalNS,1786561996455000000,1786562017757000000,12528192916
NonBlockingReadAction.finalizedExecutionsCount,1786561996455000000,1786562017757000000,3
NonBlockingReadAction.failedExecutionTimeUs,1786561996455000000,1786562017757000000,4928
NonBlockingReadAction.failedExecutionsCount,1786561996455000000,1786562017757000000,1
NonBlockingReadAction.finalizedExecutionTimeUs,1786561996455000000,1786562017757000000,29136
cacheStateStorage.set.counter,1786561996455000000,1786562017757000000,15
cacheStateStorage.get.counter,1786561996455000000,1786562017757000000,26
cacheStateStorage.get.duration,1786561996455000000,1786562017757000000,193
cacheStateStorage.set.duration,1786561996455000000,1786562017757000000,24
JVM.totalBytesAllocated,1786561996455000000,1786562017757000000,2807220168
MEM.ramMinusFileMappingsBytes,1786561996455000000,1786562017757000000,2292924416
JVM.totalCpuTimeMs,1786561996455000000,1786562017757000000,121290
JVM.totalDirectByteBuffersBytes,1786561996455000000,1786562017757000000,60373768
JVM.maxHeapBytes,1786561996455000000,1786562017757000000,2147483648
JVM.GC.collectionTimesMs,1786561996455000000,1786562017757000000,479
OS.loadAverage,1786561996455000000,1786562017757000000,3.3134765625
JVM.GC.collections,1786561996455000000,1786562017757000000,42
JVM.newThreadsCount,1786561996455000000,1786562017757000000,175
MEM.fileMappingsRamBytes,1786561996455000000,1786562017757000000,658075648
MEM.ramBytes,1786561996455000000,1786562017757000000,2951172096
JVM.usedNativeBytes,1786561996455000000,1786562017757000000,386149520
JVM.maxThreadCount,1786561996455000000,1786562017757000000,143
JVM.totalTimeToSafepointsMs,1786561996455000000,1786562017757000000,93
JVM.usedHeapBytes,1786561996455000000,1786562017757000000,707121248
MEM.ramPlusSwapMinusFileMappingsBytes,1786561996455000000,1786562017757000000,2292924416
JVM.threadCount,1786561996455000000,1786562017757000000,130
JVM.committedHeapBytes,1786561996455000000,1786562017757000000,1244659712
JVM.totalTimeAtSafepointsMs,1786561996455000000,1786562017757000000,570
JVM.totalSafepointCount,1786561996455000000,1786562017757000000,180
Indexes.stubs.lookups,1786561996455000000,1786562017757000000,0
Indexes.allKeys.lookups,1786561996455000000,1786562017757000000,0
Indexing.writesQueuedMin,1786561996455000000,1786562017757000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1786561996455000000,1786562017757000000,0
Indexing.cache.totalCacheMisses,1786561996455000000,1786562017757000000,4
Indexing.totalTimeIndexersSleptMs,1786561996455000000,1786562017757000000,0
Indexes.allKeys.lookupDuration90PMs,1786561996455000000,1786562017757000000,0.0
Indexing.cache.totalCacheAccesses,1786561996455000000,1786562017757000000,4
Indexes.entries.lookups,1786561996455000000,1786562017757000000,78
Indexes.allKeys.lookupDurationMaxMs,1786561996455000000,1786562017757000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1786561996455000000,1786562017757000000,0.0
Indexing.writesQueuedAvg,1786561996455000000,1786562017757000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1786561996455000000,1786562017757000000,0
Indexes.stubs.lookupDurationAvgMs,1786561996455000000,1786562017757000000,0.0
Indexes.entries.lookupDuration90PMs,1786561996455000000,1786562017757000000,8.0
Indexing.writer_0.totalTimeSpentWritingMs,1786561996455000000,1786562017757000000,0
Indexes.entries.lookupDurationAvgMs,1786561996455000000,1786562017757000000,3.0
Indexes.stubs.lookupDurationMaxMs,1786561996455000000,1786562017757000000,0.0
Indexes.entries.lookupDurationMaxMs,1786561996455000000,1786562017757000000,10.0
Indexing.cache.totalCacheEvicted,1786561996455000000,1786562017757000000,4
Indexes.stubs.lookupDuration90PMs,1786561996455000000,1786562017757000000,0.0
Indexing.writesQueuedMax,1786561996455000000,1786562017757000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1786561996455000000,1786562017757000000,0
writeAction.median.wait.ms,1786561996455000000,1786562017757000000,500
DiskQueryRelay.tasksExecuted,1786561996455000000,1786562017757000000,1272
DiskQueryRelay.taskExecutionTotalTimeUs,1786561996455000000,1786562017757000000,948436
writeAction.max.wait.ms,1786561996455000000,1786562017757000000,548
LowMemory.gcOverloaded,1786561996455000000,1786562017757000000,0
writeAction.count,1786561996455000000,1786562017757000000,13
DiskQueryRelay.taskWaitingTotalTimeUs,1786561996455000000,1786562017757000000,1061370
LowMemory.gcLoad,1786561996455000000,1786562017757000000,0.0
writeAction.wait.ms,1786561996455000000,1786562017757000000,581
DiskQueryRelay.tasksRequested,1786561996455000000,1786562017757000000,1272
FilePageCache.totalPageDisposalsUs,1786561996455000000,1786562017757000000,6165
FilePageCache.pageLoads,1786561996455000000,1786562017757000000,421
FilePageCache.maxRegisteredFiles,1786561996455000000,1786562017757000000,1106
StorageLockContext.competingThreads.avg,1786561996455000000,1786562017757000000,0.275
FileChannelInterruptsRetryer.totalRetriedAttempts,1786561996455000000,1786562017757000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786561996455000000,1786562017757000000,41967616
StorageLockContext.competingThreads.90P,1786561996455000000,1786562017757000000,0
FilePageCache.disposedBuffers,1786561996455000000,1786562017757000000,421
FilePageCache.pageHits,1786561996455000000,1786562017757000000,0
FilePageCache.pageFastCacheHits,1786561996455000000,1786562017757000000,11635
FilePageCache.uncachedFileAccess,1786561996455000000,1786562017757000000,315
FilePageCache.maxCacheSizeInBytes,1786561996455000000,1786562017757000000,435183616
DirectByteBufferAllocator.misses,1786561996455000000,1786562017757000000,418
StorageLockContext.competingThreads.max,1786561996455000000,1786562017757000000,11
DirectByteBufferAllocator.reclaimed,1786561996455000000,1786562017757000000,46
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786561996455000000,1786562017757000000,41967616
FilePageCache.totalPageLoadsUs,1786561996455000000,1786562017757000000,906306
FilePageCache.pageLoadsAboveSizeThreshold,1786561996455000000,1786562017757000000,0
DirectByteBufferAllocator.disposed,1786561996455000000,1786562017757000000,375
DirectByteBufferAllocator.hits,1786561996455000000,1786562017757000000,3
FilePageCache.capacityInBytes,1786561996455000000,1786562017757000000,629145600
compiler.ArtifactManagerBridge.dropMappings.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1786561996455000000,1786562017757000000,3
compiler.ArtifactManagerBridge.getArtifacts.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactManagerBridge.commit.ms,1786561996455000000,1786562017757000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1786561996455000000,1786562017757000000,1
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1786561996455000000,1786562017757000000,0
workspaceModel.update.unloaded.entities.ms,1786561996455000000,1786562017757000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786561996455000000,1786562017757000000,0
workspaceModel.on.changed.ms,1786561996455000000,1786562017757000000,40
workspaceModel.init.bridges.ms,1786561996455000000,1786562017757000000,10
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786561996455000000,1786562017757000000,12
workspaceModel.collect.changes.ms,1786561996455000000,1786562017757000000,0
workspaceModel.loading.total.ms,1786561996455000000,1786562017757000000,436
workspaceModel.loading.from.cache.ms,1786561996455000000,1786562017757000000,420
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786561996455000000,1786562017757000000,2
workspaceModel.initializing.ms,1786561996455000000,1786562017757000000,10
workspaceModel.updates.precise.ms,1786561996455000000,1786562017757000000,29
workspaceModel.check.recursive.update.ms,1786561996455000000,1786562017757000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786561996455000000,1786562017757000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786561996455000000,1786562017757000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1786561996455000000,1786562017757000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786561996455000000,1786562017757000000,484
workspaceModel.on.before.changed.ms,1786561996455000000,1786562017757000000,64
workspaceModel.cachedValueWithParameters.total.get.count,1786561996455000000,1786562017757000000,0
workspaceModel.pre.handlers.ms,1786561996455000000,1786562017757000000,1
workspaceModel.workspaceFileIndexData.instances.count,1786561996455000000,1786562017757000000,1
workspaceModel.cachedValue.calculated.count,1786561996455000000,1786562017757000000,14
workspaceModel.updates.count,1786561996455000000,1786562017757000000,4
workspaceModel.cachedValueWithParameters.clear.count,1786561996455000000,1786562017757000000,0
workspaceModel.replace.project.model.ms,1786561996455000000,1786562017757000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1786561996455000000,1786562017757000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1786561996455000000,1786562017757000000,26
workspaceModel.updates.ms,1786561996455000000,1786562017757000000,152
workspaceModel.cachedValueWithParameters.calculated.count,1786561996455000000,1786562017757000000,0
workspaceModel.full.replace.project.model.ms,1786561996455000000,1786562017757000000,7
workspaceModel.cachedValue.from.cache.count,1786561996455000000,1786562017757000000,36
workspaceModel.cachedValue.total.get.count,1786561996455000000,1786562017757000000,50
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786561996455000000,1786562017757000000,0
workspaceModel.to.snapshot.ms,1786561996455000000,1786562017757000000,0
workspaceModel.workspaceFileIndexData.init.ms,1786561996455000000,1786562017757000000,248
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786561996455000000,1786562017757000000,279
workspaceModel.cachedValue.clear.count,1786561996455000000,1786562017757000000,0
