# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.commit.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1786563444904000000,1786563459431000000,4
compiler.ArtifactManagerBridge.initBridges.ms,1786563444904000000,1786563459431000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1786563444904000000,1786563459431000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1786563444904000000,1786563459431000000,0
NonBlockingReadAction.finalizedExecutionsCount,1786563444904000000,1786563459431000000,4
NonBlockingReadAction.finalizedExecutionTimeUs,1786563444904000000,1786563459431000000,12101
AWTEventQueue.dispatchTimeTotalNS,1786563444904000000,1786563459431000000,8431617486
NonBlockingReadAction.failedExecutionsCount,1786563444904000000,1786563459431000000,0
NonBlockingReadAction.failedExecutionTimeUs,1786563444904000000,1786563459431000000,0
jps.facet.change.listener.init.bridge.ms,1786563444904000000,1786563459431000000,2
workspaceModel.global.updates.count,1786563444904000000,1786563459431000000,1
workspaceModel.do.save.caches.ms,1786563444904000000,1786563459431000000,109
workspaceModel.moduleBridge.update.option.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1786563444904000000,1786563459431000000,44
workspaceModel.mutableEntityStorage.modify.entity.ms,1786563444904000000,1786563459431000000,4
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786563444904000000,1786563459431000000,0
workspaceModel.global.apply.state.to.project.ms,1786563444904000000,1786563459431000000,143
jps.global.get.libraries.ms,1786563444904000000,1786563459431000000,1
workspaceModel.load.cache.from.file.ms,1786563444904000000,1786563459431000000,357
jps.artifact.entities.serializer.load.entities.ms,1786563444904000000,1786563459431000000,0
jps.module.iml.entities.serializer.save.entities.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786563444904000000,1786563459431000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1786563444904000000,1786563459431000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786563444904000000,1786563459431000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786563444904000000,1786563459431000000,0
jps.global.handle.before.change.events.ms,1786563444904000000,1786563459431000000,0
jps.library.entities.serializer.save.entities.ms,1786563444904000000,1786563459431000000,0
jps.save.global.entities.ms,1786563444904000000,1786563459431000000,36
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786563444904000000,1786563459431000000,1
jps.global.get.library.by.name.ms,1786563444904000000,1786563459431000000,0
jps.app.storage.content.reader.load.component.ms,1786563444904000000,1786563459431000000,6
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786563444904000000,1786563459431000000,2
jps.load.initial.state.ms,1786563444904000000,1786563459431000000,47
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1786563444904000000,1786563459431000000,0
jps.global.initialize.library.bridges.after.loading.ms,1786563444904000000,1786563459431000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786563444904000000,1786563459431000000,7
workspaceModel.mutableEntityStorage.collect.changes.ms,1786563444904000000,1786563459431000000,2
jps.module.iml.entities.serializer.load.entities.ms,1786563444904000000,1786563459431000000,39
workspaceModel.moduleManagerBridge.newModule.ms,1786563444904000000,1786563459431000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1786563444904000000,1786563459431000000,69
workspaceModel.delayed.project.synchronizer.sync.ms,1786563444904000000,1786563459431000000,182
workspaceModel.save.cache.to.file.ms,1786563444904000000,1786563459431000000,115
jps.facet.change.listener.before.change.events.ms,1786563444904000000,1786563459431000000,0
jps.project.serializers.load.ms,1786563444904000000,1786563459431000000,69
jps.apply.loaded.storage.ms,1786563444904000000,1786563459431000000,28
workspaceModel.moduleBridgeLoader.loading.modules.ms,1786563444904000000,1786563459431000000,480
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786563444904000000,1786563459431000000,18
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.entities.ms,1786563444904000000,1786563459431000000,2
jps.project.serializers.save.ms,1786563444904000000,1786563459431000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1786563444904000000,1786563459431000000,0
jps.artifact.entities.serializer.save.entities.ms,1786563444904000000,1786563459431000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786563444904000000,1786563459431000000,7
jps.global.get.library.ms,1786563444904000000,1786563459431000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1786563444904000000,1786563459431000000,2
workspaceModel.load.cache.metadata.from.file.ms,1786563444904000000,1786563459431000000,40
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.instances.count,1786563444904000000,1786563459431000000,35
workspaceModel.moduleManagerBridge.load.module.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1786563444904000000,1786563459431000000,12
jps.library.entities.serializer.load.entities.ms,1786563444904000000,1786563459431000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1786563444904000000,1786563459431000000,0
jps.app.storage.content.writer.save.component.ms,1786563444904000000,1786563459431000000,10
workspaceModel.moduleBridge.before.changed.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786563444904000000,1786563459431000000,29
workspaceModel.mutableEntityStorage.remove.entity.ms,1786563444904000000,1786563459431000000,0
jps.reload.project.entities.ms,1786563444904000000,1786563459431000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786563444904000000,1786563459431000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786563444904000000,1786563459431000000,54
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786563444904000000,1786563459431000000,0
workspaceModel.orphan.listener.update.ms,1786563444904000000,1786563459431000000,4
jps.load.project.to.empty.storage.ms,1786563444904000000,1786563459431000000,149
jps.save.changed.project.entities.ms,1786563444904000000,1786563459431000000,1
jps.global.handle.changed.events.ms,1786563444904000000,1786563459431000000,0
workspaceModel.sync.entities.ms,1786563444904000000,1786563459431000000,0
jps.facet.change.listener.process.change.events.ms,1786563444904000000,1786563459431000000,6
workspaceModel.global.updates.ms,1786563444904000000,1786563459431000000,16
