# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1786562883845000000,1786562898302000000,169
cacheStateStorage.set.counter,1786562883845000000,1786562898302000000,15
cacheStateStorage.set.duration,1786562883845000000,1786562898302000000,19
cacheStateStorage.get.counter,1786562883845000000,1786562898302000000,26
Indexes.allKeys.lookupDurationMaxMs,1786562883845000000,1786562898302000000,0.0
Indexes.stubs.lookupDuration90PMs,1786562883845000000,1786562898302000000,0.0
Indexes.entries.lookupDurationMaxMs,1786562883845000000,1786562898302000000,14.0
Indexes.entries.lookupDuration90PMs,1786562883845000000,1786562898302000000,11.0
Indexes.allKeys.lookupDuration90PMs,1786562883845000000,1786562898302000000,0.0
Indexing.writesQueuedAvg,1786562883845000000,1786562898302000000,0.0
Indexing.cache.totalCacheEvicted,1786562883845000000,1786562898302000000,4
Indexing.cache.totalCacheMisses,1786562883845000000,1786562898302000000,4
Indexes.entries.lookups,1786562883845000000,1786562898302000000,80
Indexing.totalTimeIndexersSleptMs,1786562883845000000,1786562898302000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1786562883845000000,1786562898302000000,0
Indexes.allKeys.lookupDurationAvgMs,1786562883845000000,1786562898302000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1786562883845000000,1786562898302000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1786562883845000000,1786562898302000000,0
Indexing.writesQueuedMin,1786562883845000000,1786562898302000000,0
Indexes.stubs.lookups,1786562883845000000,1786562898302000000,0
Indexes.stubs.lookupDurationMaxMs,1786562883845000000,1786562898302000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1786562883845000000,1786562898302000000,0
Indexes.stubs.lookupDurationAvgMs,1786562883845000000,1786562898302000000,0.0
Indexes.entries.lookupDurationAvgMs,1786562883845000000,1786562898302000000,3.1125
Indexes.allKeys.lookups,1786562883845000000,1786562898302000000,0
Indexing.cache.totalCacheAccesses,1786562883845000000,1786562898302000000,4
Indexing.writesQueuedMax,1786562883845000000,1786562898302000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786562883845000000,1786562898302000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1786562883845000000,1786562898302000000,11
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786562883845000000,1786562898302000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786562883845000000,1786562898302000000,25
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786562883845000000,1786562898302000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1786562883845000000,1786562898302000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786562883845000000,1786562898302000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786562883845000000,1786562898302000000,6
jps.artifact.entities.serializer.save.entities.ms,1786562883845000000,1786562898302000000,0
jps.artifact.entities.serializer.load.entities.ms,1786562883845000000,1786562898302000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786562883845000000,1786562898302000000,72
jps.module.iml.entities.serializer.load.entities.ms,1786562883845000000,1786562898302000000,32
jps.global.initialize.library.bridges.ms,1786562883845000000,1786562898302000000,1
workspaceModel.save.cache.to.file.ms,1786562883845000000,1786562898302000000,106
