# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1786563391727000000,1786563428460000000,1
NonBlockingReadAction.finalizedExecutionsCount,1786563391727000000,1786563428460000000,17
NonBlockingReadAction.failedExecutionTimeUs,1786563391727000000,1786563428460000000,5552
NonBlockingReadAction.finalizedExecutionTimeUs,1786563391727000000,1786563428460000000,27401
AWTEventQueue.dispatchTimeTotalNS,1786563391727000000,1786563428460000000,13482345844
workspaceModel.cachedValueWithParameters.total.get.count,1786563391727000000,1786563428460000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1786563391727000000,1786563428460000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1786563391727000000,1786563428460000000,0
workspaceModel.loading.from.cache.ms,1786563391727000000,1786563428460000000,352
workspaceModel.entityStorageSnapshotImpl.instances.count,1786563391727000000,1786563428460000000,24
workspaceModel.check.recursive.update.ms,1786563391727000000,1786563428460000000,2
workspaceModel.updates.count,1786563391727000000,1786563428460000000,4
workspaceModel.pre.handlers.ms,1786563391727000000,1786563428460000000,1
workspaceModel.on.changed.ms,1786563391727000000,1786563428460000000,44
workspaceModel.update.unloaded.entities.ms,1786563391727000000,1786563428460000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786563391727000000,1786563428460000000,1
workspaceModel.on.before.changed.ms,1786563391727000000,1786563428460000000,53
workspaceModel.cachedValueWithParameters.clear.count,1786563391727000000,1786563428460000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1786563391727000000,1786563428460000000,0
workspaceModel.updates.precise.ms,1786563391727000000,1786563428460000000,27
workspaceModel.cachedValue.from.cache.count,1786563391727000000,1786563428460000000,44
workspaceModel.cachedValue.total.get.count,1786563391727000000,1786563428460000000,55
workspaceModel.cachedValue.clear.count,1786563391727000000,1786563428460000000,0
workspaceModel.init.bridges.ms,1786563391727000000,1786563428460000000,7
workspaceModel.workspaceFileIndexData.instances.count,1786563391727000000,1786563428460000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786563391727000000,1786563428460000000,97
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786563391727000000,1786563428460000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786563391727000000,1786563428460000000,7
workspaceModel.collect.changes.ms,1786563391727000000,1786563428460000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786563391727000000,1786563428460000000,5
workspaceModel.loading.total.ms,1786563391727000000,1786563428460000000,365
workspaceModel.full.replace.project.model.ms,1786563391727000000,1786563428460000000,8
workspaceModel.initializing.ms,1786563391727000000,1786563428460000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786563391727000000,1786563428460000000,0
workspaceModel.to.snapshot.ms,1786563391727000000,1786563428460000000,0
workspaceModel.cachedValue.calculated.count,1786563391727000000,1786563428460000000,11
workspaceModel.workspaceFileIndexData.init.ms,1786563391727000000,1786563428460000000,56
workspaceModel.updates.ms,1786563391727000000,1786563428460000000,138
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786563391727000000,1786563428460000000,283
workspaceModel.replace.project.model.ms,1786563391727000000,1786563428460000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786563391727000000,1786563428460000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786563391727000000,1786563428460000000,41967616
FilePageCache.totalPageLoadsUs,1786563391727000000,1786563428460000000,848521
FilePageCache.pageFastCacheHits,1786563391727000000,1786563428460000000,11885
FilePageCache.pageLoads,1786563391727000000,1786563428460000000,455
DirectByteBufferAllocator.misses,1786563391727000000,1786563428460000000,452
FilePageCache.maxCacheSizeInBytes,1786563391727000000,1786563428460000000,470835200
DirectByteBufferAllocator.disposed,1786563391727000000,1786563428460000000,409
FilePageCache.uncachedFileAccess,1786563391727000000,1786563428460000000,316
FileChannelInterruptsRetryer.totalRetriedAttempts,1786563391727000000,1786563428460000000,0
StorageLockContext.competingThreads.avg,1786563391727000000,1786563428460000000,0.0
DirectByteBufferAllocator.hits,1786563391727000000,1786563428460000000,3
FilePageCache.pageHits,1786563391727000000,1786563428460000000,52
StorageLockContext.competingThreads.90P,1786563391727000000,1786563428460000000,0
FilePageCache.capacityInBytes,1786563391727000000,1786563428460000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786563391727000000,1786563428460000000,41967616
