# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskExecutionTotalTimeUs,1786560887124000000,1786560901553000000,1144509
writeAction.wait.ms,1786560887124000000,1786560901553000000,376
writeAction.count,1786560887124000000,1786560901553000000,9
DiskQueryRelay.tasksRequested,1786560887124000000,1786560901553000000,1191
writeAction.median.wait.ms,1786560887124000000,1786560901553000000,300
DiskQueryRelay.taskWaitingTotalTimeUs,1786560887124000000,1786560901553000000,1250981
DiskQueryRelay.tasksExecuted,1786560887124000000,1786560901553000000,1191
writeAction.max.wait.ms,1786560887124000000,1786560901553000000,324
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1786560887124000000,1786560901553000000,3
compiler.ArtifactManagerBridge.dropMappings.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactManagerBridge.commit.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1786560887124000000,1786560901553000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1786560887124000000,1786560901553000000,0
JVM.maxHeapBytes,1786560887124000000,1786560901553000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1786560887124000000,1786560901553000000,1534238720
MEM.ramMinusFileMappingsBytes,1786560887124000000,1786560901553000000,1534238720
JVM.committedHeapBytes,1786560887124000000,1786560901553000000,567279616
MEM.ramBytes,1786560887124000000,1786560901553000000,2084884480
JVM.usedNativeBytes,1786560887124000000,1786560901553000000,323539896
JVM.GC.collectionTimesMs,1786560887124000000,1786560901553000000,389
